TID: [2025-05-22 12:19:16,156]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2025-05-22 12:19:20,092] []  INFO {org.ops4j.pax.logging.spi.support.EventAdminConfigurationNotifier} - Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
TID: [] [] [2025-05-22 12:19:20,297] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2025-05-22 12:19:20,298] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Linux 6.8.0-59-generic, amd64
TID: [] [] [2025-05-22 12:19:20,298] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /usr/lib/jvm/java-11-openjdk-amd64
TID: [] [] [2025-05-22 12:19:20,298] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 11.0.27
TID: [] [] [2025-05-22 12:19:20,298] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 11.0.27+6-post-Ubuntu-0ubuntu122.04,Ubuntu
TID: [] [] [2025-05-22 12:19:20,298] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /home/dheera/WSO2 Identity Server/wso2is-7.1.0.8/wso2is-7.1.0
TID: [] [] [2025-05-22 12:19:20,298] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /home/dheera/WSO2 Identity Server/wso2is-7.1.0.8/wso2is-7.1.0/tmp
TID: [] [] [2025-05-22 12:19:20,298] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : dheera, en-US, Asia/Colombo
TID: [] [] [2025-05-22 12:19:24,811] []  INFO {org.apache.jasper.servlet.TldScanner} - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
TID: [] [] [2025-05-22 12:19:26,691] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Configured Registry in 94ms
TID: [] [] [2025-05-22 12:19:26,767] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 3ms
TID: [] [] [2025-05-22 12:19:26,768] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 3ms
TID: [] [] [2025-05-22 12:19:26,917] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 0ms
TID: [] [] [2025-05-22 12:19:26,917] []  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 0ms
TID: [] [] [2025-05-22 12:19:26,932] []  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} - Registry Mode    : READ-WRITE
TID: [] [] [2025-05-22 12:19:29,696] []  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} - Default Embedded Solr Server Initialized
TID: [] [] [2025-05-22 12:19:29,950] []  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Carbon UserStoreMgtDSComponent activated successfully.
TID: [] [] [2025-05-22 12:19:30,499] []  INFO {org.apache.axis2.transport.mail.MailTransportSender} - MAILTO Sender started
TID: [] [] [2025-05-22 12:19:32,790] []  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Repository       : /home/dheera/WSO2 Identity Server/wso2is-7.1.0.8/wso2is-7.1.0/repository/deployment/server/
TID: [] [] [2025-05-22 12:19:32,820] []  INFO {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig} - Using tenant lazy loading policy...
TID: [] [] [2025-05-22 12:19:32,836] []  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} - Permission cache updated for tenant -1234
TID: [] [] [2025-05-22 12:19:33,068] []  INFO {org.wso2.carbon.is.migration.internal.ISMigrationServiceComponent} - org.wso2.carbon.identity.core is 7.8.23.4 - Proceeding with service binding.
TID: [] [] [2025-05-22 12:19:33,069] []  INFO {org.wso2.carbon.is.migration.internal.ISMigrationServiceComponent} - Successfully registered Certificate Management Service.
TID: [] [] [2025-05-22 12:19:33,070] []  INFO {org.wso2.carbon.is.migration.internal.ISMigrationServiceComponent} - Successfully registered Secret Manager Service.
TID: [] [] [2025-05-22 12:19:33,071] []  INFO {org.wso2.carbon.is.migration.internal.ISMigrationServiceComponent} - Successfully registered Secret Resolve Manager Service.
TID: [] [] [2025-05-22 12:19:35,927] []  INFO {org.wso2.carbon.identity.configuration.mgt.core.ConfigurationManagerImpl} - Resource: ocspvalidator added successfully
TID: [] [] [2025-05-22 12:19:35,929] []  INFO {org.wso2.carbon.identity.configuration.mgt.core.ConfigurationManagerImpl} - Resource: crlvalidator added successfully
TID: [] [] [2025-05-22 12:19:36,817] []  WARN {org.wso2.carbon.identity.auth.service.internal.AuthenticationServiceComponent} - 

##################################  ALERT  ##################################
[WARNING]: Internal authentication is utilizing default credentials,
which may expose the environment to potential security risks.
If this is a production environment, change the credentials immediately.
#############################################################################

TID: [] [] [2025-05-22 12:19:37,863] []  INFO {org.wso2.carbon.identity.authenticator.x509Certificate.internal.X509CertificateServiceComponent} - X509 Certificate Servlet activated successfully..
TID: [] [] [2025-05-22 12:19:38,756] []  INFO {org.wso2.carbon.identity.application.authentication.framework.store.SessionDataStore} - Thread pool size for temporary authentication context data delete task: 20
TID: [] [] [2025-05-22 12:19:39,158] []  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - The default OAuth token issuer will be used. No custom token generator is set.
TID: [] [] [2025-05-22 12:19:39,158] []  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - An instance of org.wso2.carbon.identity.oauth2.token.OauthTokenIssuerImpl is created for Identity OAuth token generation.
TID: [] [] [2025-05-22 12:19:39,185] []  INFO {org.opensaml.core.config.InitializationService} - Initializing OpenSAML using the Java Services API
TID: [] [] [2025-05-22 12:19:49,324] []  INFO {org.hibernate.validator.internal.util.Version} - HV000001: Hibernate Validator 6.2.0.Final
TID: [] [] [2025-05-22 12:20:02,005] []  INFO {org.wso2.carbon.core.transports.http.HttpTransportListener} - HTTP port        : 9763
TID: [] [] [2025-05-22 12:20:02,006] []  INFO {org.wso2.carbon.core.transports.http.HttpsTransportListener} - HTTPS port       : 9443
TID: [] [] [2025-05-22 12:20:02,284] []  WARN {org.apache.tomcat.util.net.SSLUtilBase} - The trusted certificate with alias [cn_baltimore_cybertrust_root,ou_cybertrust,o_baltimore,c_ie] and DN [CN=Baltimore CyberTrust Root, OU=CyberTrust, O=Baltimore, C=IE] is not valid due to [NotAfter: Tue May 13 05:29:00 IST 2025]. Certificates signed by this trusted certificate WILL be accepted
TID: [] [] [2025-05-22 12:20:02,294] []  INFO {org.apache.tomcat.util.net.NioEndpoint.certificate} - Connector [https-jsse-nio-9443], TLS virtual host [_default_], certificate type [UNDEFINED] configured from keystore [/home/dheera/WSO2 Identity Server/wso2is-7.1.0.8/wso2is-7.1.0/repository/resources/security/wso2carbon.p12] using alias [wso2carbon] with trust store [/home/dheera/WSO2 Identity Server/wso2is-7.1.0.8/wso2is-7.1.0/repository/resources/security/client-truststore.p12]
TID: [] [] [2025-05-22 12:20:02,351] []  INFO {org.wso2.identity.apps.common.internal.AppsCommonServiceStartupObserver} - My Account URL : https://localhost:9443/myaccount
TID: [] [] [2025-05-22 12:20:02,352] []  INFO {org.wso2.identity.apps.common.internal.AppsCommonServiceStartupObserver} - Console URL : https://localhost:9443/console
TID: [] [] [2025-05-22 12:20:02,352] []  INFO {org.wso2.carbon.core.internal.StartupFinalizerServiceComponent} - Server           :  WSO2 Identity Server-7.1.0
TID: [] [] [2025-05-22 12:20:02,353] []  INFO {org.wso2.carbon.core.internal.StartupFinalizerServiceComponent} - WSO2 Carbon started in 46 sec
TID: [] [] [2025-05-22 12:20:02,380] []  INFO {org.wso2.carbon.healthcheck.api.core.internal.HealthMonitorServiceComponent} - Carbon health monitoring service is activated..
